station,sequence,origin,turbidity_ntu,ph,temperature_c,forecast_h6_ntu,alum_percent,chlorine_percent,global_round,algorithm
tongji,13,PUBLISHED_FIELD,35.300000000000004,7.84,9.71,31.02936696626048,22.45055337454381,10.2843537414966,1,RG_AdaFedResidual
virtual,13,DISCLOSED_DIGITAL_TWIN,0.31,9.42,27.05,0.3196541563003987,20.34496602919937,12.605088951907067,1,RG_AdaFedResidual
austin,14,PUBLISHED_FIELD,0.54,9.3,26.91,0.5495332905927937,19.09788173683593,11.77712285531112,1,RG_AdaFedResidual
tongji,14,PUBLISHED_FIELD,37.09,7.7,12.03,30.34531248965024,22.09198321385226,10.357414965986395,1,RG_AdaFedResidual
virtual,14,DISCLOSED_DIGITAL_TWIN,0.32,9.41,27.01,0.3163806280259202,20.28609270397804,12.589866666666666,1,RG_AdaFedResidual
austin,15,PUBLISHED_FIELD,0.54,9.28,27.1,0.5491577698662782,18.983724446925947,11.84496390442284,1,RG_AdaFedResidual
tongji,15,PUBLISHED_FIELD,36.32,7.87,8.75,31.064457442731914,22.84367888694611,10.325986394557823,1,RG_AdaFedResidual
virtual,15,DISCLOSED_DIGITAL_TWIN,0.33,9.41,27.03,0.3156553216096744,20.304757682966944,12.597942857142858,1,RG_AdaFedResidual
austin,16,PUBLISHED_FIELD,0.54,9.31,27.11,0.5487690385055914,19.153639562408063,11.84851867307881,1,RG_AdaFedResidual
tongji,16,PUBLISHED_FIELD,31.82,8.13,12.1,31.20046265254557,23.22361225553077,10.142312925170067,1,RG_AdaFedResidual
virtual,16,DISCLOSED_DIGITAL_TWIN,0.34,9.42,26.95,0.3219917329240206,20.382677257451423,12.567923809523812,1,RG_AdaFedResidual
austin,17,PUBLISHED_FIELD,0.56,9.31,26.95,0.5495069790086383,19.169152228613225,11.791857142857143,1,RG_AdaFedResidual
tongji,17,PUBLISHED_FIELD,31.31,7.9,12.02,30.307889744901395,21.85340173928282,10.121496598639457,1,RG_AdaFedResidual
virtual,17,DISCLOSED_DIGITAL_TWIN,0.35,9.4,26.96,0.3310083228444065,20.2817679829455,12.572190476190476,1,RG_AdaFedResidual
austin,18,PUBLISHED_FIELD,0.55,9.35,26.85,0.551484254293725,19.384676333908743,11.755777896612589,1,RG_AdaFedResidual
tongji,18,PUBLISHED_FIELD,33.08,7.87,12.15,29.587684175401325,22.10469851767583,10.19374149659864,1,RG_AdaFedResidual
virtual,18,DISCLOSED_DIGITAL_TWIN,0.35,9.42,26.97,0.3405565095422531,20.40081560199312,12.576,1,RG_AdaFedResidual
austin,19,PUBLISHED_FIELD,0.55,9.27,27.07,0.5532573092874133,18.932584090985635,11.834425313255174,1,RG_AdaFedResidual
tongji,19,PUBLISHED_FIELD,33.62,7.8,9.77,30.55738430919611,21.84911603552116,10.215782312925173,1,RG_AdaFedResidual
virtual,19,DISCLOSED_DIGITAL_TWIN,0.35,9.44,27.01,0.3399037465764217,20.519863221040737,12.591238095238095,1,RG_AdaFedResidual
austin,20,PUBLISHED_FIELD,0.55,9.29,27.13,0.5527284528370655,19.04548911520747,11.8558312194073,1,RG_AdaFedResidual
tongji,20,PUBLISHED_FIELD,30.7,7.83,9.02,31.0741194068108,21.41713537754297,10.111868819325611,1,RG_AdaFedResidual
virtual,20,DISCLOSED_DIGITAL_TWIN,0.36,9.41,27.14,0.337778976114204,20.359183673469385,12.641219047619048,1,RG_AdaFedResidual
austin,21,PUBLISHED_FIELD,0.55,9.28,27.07,0.553306336568938,18.98947005436029,11.834427414424384,2,RG_AdaFedResidual
tongji,21,PUBLISHED_FIELD,26.41,7.91,9.7,30.88118925076296,21.806141360556804,10.10399411907876,2,RG_AdaFedResidual
virtual,21,DISCLOSED_DIGITAL_TWIN,0.35,9.4,27.2,0.3350977248343992,20.2817679829455,12.663619047619049,2,RG_AdaFedResidual
austin,22,PUBLISHED_FIELD,0.55,9.3,27.24,0.5523473882813591,19.101780129062245,11.895100602354916,2,RG_AdaFedResidual
tongji,22,PUBLISHED_FIELD,23.74,7.83,9.02,30.021156461540347,21.1660557400972,10.068890739926816,2,RG_AdaFedResidual
virtual,22,DISCLOSED_DIGITAL_TWIN,0.35,9.4,27.24,0.3346419969845118,20.2817679829455,12.678857142857142,2,RG_AdaFedResidual
austin,23,PUBLISHED_FIELD,0.55,9.31,26.77,0.5531893503967974,19.15976285853055,11.727279543588432,2,RG_AdaFedResidual
tongji,23,PUBLISHED_FIELD,24.49,7.82,7.390000000000001,29.00489978701481,20.86640396969505,10.02741087566047,2,RG_AdaFedResidual
virtual,23,DISCLOSED_DIGITAL_TWIN,0.31,9.42,27.1,0.3337273860128751,20.37116912585012,12.624779918598684,2,RG_AdaFedResidual
austin,24,PUBLISHED_FIELD,0.5700000000000001,9.27,27.02,0.553765639803599,18.955568396481308,11.817285714285717,2,RG_AdaFedResidual
tongji,24,PUBLISHED_FIELD,20.44,7.84,8.89,28.04116879176944,20.73963063626801,9.988074916670865,2,RG_AdaFedResidual
virtual,24,DISCLOSED_DIGITAL_TWIN,0.33,9.44,27.17,0.3160593423890125,20.483329111538367,12.651276190476194,2,RG_AdaFedResidual
austin,25,PUBLISHED_FIELD,0.55,9.28,26.89,0.5528781072351087,18.988877919487926,11.770123347452934,2,RG_AdaFedResidual
tongji,25,PUBLISHED_FIELD,18.52,7.930000000000001,13.14,25.981394133744544,20.71552238223824,9.90400248164944,2,RG_AdaFedResidual
virtual,25,DISCLOSED_DIGITAL_TWIN,0.33,9.36,27.26,0.316230430098926,20.00713863534789,12.685561904761904,2,RG_AdaFedResidual
